goog_date,goog_month,goog_year,goog_isoweek,goog_isodow,goog_isoyear,goog_channel_group,goog_product_group,goog_sub_channel,goog_advertiser,goog_cost,goog_impressions,goog_clicks,goog_video_views,goog_video_completes
2017-01-03,1,2017,1,1,2017,Remarketing,Other,DN,Tempur-Pedic,189.03000000000003,71449,111,0,0.0
2017-01-03,1,2017,1,1,2017,Remarketing,Pillow,DN,Tempur-Pedic,158.41000000000003,89133,76,0,0.0
2017-01-03,1,2017,1,1,2017,Shopping,Mattress,SN,Tempur-Pedic,579.35,20628,167,0,0.0
2017-01-03,1,2017,1,1,2017,Shopping,Other,SN,Tempur-Pedic,357.61,7355,109,0,0.0
2017-01-03,1,2017,1,1,2017,Shopping,Pillow,SN,Tempur-Pedic,515.3000000000001,22543,207,0,0.0
2017-01-04,1,2017,1,2,2017,Branded Search,Mattress,SN,Tempur-Pedic,11364.880000000001,27102,3445,0,0.0
2017-01-04,1,2017,1,2,2017,Branded Search,Other,SN,Tempur-Pedic,664.0500000000003,3074,216,0,0.0
2017-01-04,1,2017,1,2,2017,Competitor,Other,SN,Tempur-Pedic,25.37,925,3,0,0.0
2017-01-04,1,2017,1,2,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,13.42,3839,11,0,0.0
2017-01-04,1,2017,1,2,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,203.6,2124,30,0,0.0
2017-01-04,1,2017,1,2,2017,Non-Branded Search,Mattress,SN,Tempur-Pedic,1559.1899999999998,6575,165,0,0.0
2017-01-04,1,2017,1,2,2017,Non-Branded Search,Other,SN,Tempur-Pedic,2039.4199999999992,22336,648,0,0.0
2017-01-04,1,2017,1,2,2017,Non-Branded Search,Pillow,SN,Tempur-Pedic,311.74999999999994,2474,77,0,0.0
2017-01-04,1,2017,1,2,2017,Non-Branded Search Tier 1,Mattress,SN,Tempur-Pedic,3784.17,18891,459,0,0.0
2017-01-04,1,2017,1,2,2017,Non-Branded Search Tier 1,Pillow,SN,Tempur-Pedic,431.7300000000001,4995,125,0,0.0
2017-01-04,1,2017,1,2,2017,Remarketing,Mattress,DN,Tempur-Pedic,423.8200000000001,175912,185,0,0.0
2017-01-04,1,2017,1,2,2017,Remarketing,Other,DN,Tempur-Pedic,190.13,70514,125,0,0.0
