bing_date,bing_month,bing_year,bing_isoweek,bing_isodow,bing_isoyear,bing_channel_group,bing_product_group,bing_sub_channel,bing_advertiser,bing_cost,bing_impressions,bing_clicks,bing_video_views,bing_video_completes
2017-01-05,1,2017,1,3,2017,Branded Search,Other,SN,Tempur-Pedic,283.15000000000003,1273,79,0,0.0
2017-01-05,1,2017,1,3,2017,Competitor Search,Mattress,SN,Tempur-Pedic,209.79,3059,33,0,0.0
2017-01-05,1,2017,1,3,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,501.44000000000017,191126,209,0,0.0
2017-01-05,1,2017,1,3,2017,Display Remarketing,Other,DN,Tempur-Pedic,175.89999999999998,60299,121,0,0.0
2017-01-05,1,2017,1,3,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,150.31,70060,82,0,0.0
2017-01-05,1,2017,1,3,2017,Shopping,Mattress,SN,Tempur-Pedic,613.0500000000001,23078,179,0,0.0
2017-01-05,1,2017,1,3,2017,Shopping,Other,SN,Tempur-Pedic,381.53,14836,157,0,0.0
2017-01-05,1,2017,1,3,2017,Shopping,Pillow,SN,Tempur-Pedic,548.3699999999999,22072,229,0,0.0
2017-01-06,1,2017,1,4,2017,Branded Search,Mattress,SN,Tempur-Pedic,11130.300000000003,31361,3610,0,0.0
2017-01-06,1,2017,1,4,2017,Competitor Search,Mattress,SN,Tempur-Pedic,402.65999999999997,4423,40,0,0.0
2017-01-06,1,2017,1,4,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,464.24999999999994,191844,210,0,0.0
2017-01-06,1,2017,1,4,2017,Display Remarketing,Other,DN,Tempur-Pedic,174.86999999999998,73411,112,0,0.0
2017-01-06,1,2017,1,4,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,187.29,79195,81,0,0.0
2017-01-06,1,2017,1,4,2017,Shopping,Mattress,SN,Tempur-Pedic,573.1500000000001,21893,161,0,0.0
2017-01-06,1,2017,1,4,2017,Shopping,Other,SN,Tempur-Pedic,356.35,9529,135,0,0.0
2017-01-06,1,2017,1,4,2017,Shopping,Pillow,SN,Tempur-Pedic,525.61,27472,206,0,0.0
2017-01-07,1,2017,1,5,2017,Branded Search,Mattress,SN,Tempur-Pedic,18471.12,58689,5354,0,0.0
2017-01-07,1,2017,1,5,2017,Branded Search,Other,SN,Tempur-Pedic,2068.7700000000004,21142,726,0,0.0
2017-01-07,1,2017,1,5,2017,Branded Search,Pillow,SN,Tempur-Pedic,746.2300000000001,8496,204,0,0.0
2017-01-07,1,2017,1,5,2017,Competitor Search,Mattress,SN,Tempur-Pedic,415.6499999999999,4142,38,0,0.0
2017-01-07,1,2017,1,5,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,499.7199999999999,173756,225,0,0.0
2017-01-07,1,2017,1,5,2017,Display Remarketing,Other,DN,Tempur-Pedic,205.49,59388,146,0,0.0
2017-01-07,1,2017,1,5,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,149.47,60256,65,0,0.0
2017-01-07,1,2017,1,5,2017,Shopping,Mattress,SN,Tempur-Pedic,572.23,17722,157,0,0.0
2017-01-07,1,2017,1,5,2017,Shopping,Other,SN,Tempur-Pedic,356.27,12284,124,0,0.0
2017-01-07,1,2017,1,5,2017,Shopping,Pillow,SN,Tempur-Pedic,514.3499999999999,40340,253,0,0.0
2017-01-08,1,2017,1,6,2017,Branded Search,Mattress,SN,Tempur-Pedic,18726.48,58241,5302,0,0.0
2017-01-08,1,2017,1,6,2017,Branded Search,Other,SN,Tempur-Pedic,2076.600000000001,21723,765,0,0.0
