hit_date,hit_isoweek,hit_month,hit_quarter,hit_year,hit_isoyear,hit_brandname,hit_parentcompany,hit_brandtype,hit_brandsubtype,hit_value
2018-03-18,11,3,1,2018,2018,Eve Mattress,Sleep Eve,manufacturer,disruptor,1646.0
2018-02-18,7,2,1,2018,2018,cocoon,tsi,manufacturer,disruptor,24734.0
2018-03-25,12,3,1,2018,2018,Zen Haven,Saatva,manufacturer,disruptor,26971.0
2018-03-25,12,3,1,2018,2018,cocoon,tsi,manufacturer,disruptor,9976.0
2018-03-25,12,3,1,2018,2018,Wink Beds,Wink Beds,manufacturer,disruptor,8690.0
2018-03-25,12,3,1,2018,2018,Bed In a Box,Bed In a Box,manufacturer,disruptor,16084.0
2018-03-25,12,3,1,2018,2018,Nolah,Nolah,manufacturer,disruptor,9857.0
2018-03-25,12,3,1,2018,2018,Sleep Eve,Sleep Eve,manufacturer,disruptor,768.0
2018-03-25,12,3,1,2018,2018,Eve Mattress,Sleep Eve,manufacturer,disruptor,768.0
2018-04-01,13,3,1,2018,2018,purple,purple,manufacturer,disruptor,537398.0
2018-04-01,13,3,1,2018,2018,casper,casper,manufacturer,disruptor,330674.0
2018-04-01,13,3,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,302207.0
2018-04-01,13,3,1,2018,2018,tuft & needle,tuft & needle,manufacturer,disruptor,123618.0
2018-04-01,13,3,1,2018,2018,saatva,saatva,manufacturer,disruptor,222749.0
2018-04-01,13,3,1,2018,2018,leesa,leesa,manufacturer,disruptor,92867.0
2018-04-01,13,3,1,2018,2018,loom & leaf,saatva,manufacturer,disruptor,68591.0
