hit_date,hit_isoweek,hit_month,hit_quarter,hit_year,hit_isoyear,hit_brandname,hit_parentcompany,hit_brandtype,hit_brandsubtype,hit_value
2017-07-16,28,7,3,2017,2017,stearns & foster,tsi,manufacturer,traditional,16024.0
2017-07-23,29,7,3,2017,2017,sleep number,select comfort,manufacturer,traditional,284886.0
2017-07-23,29,7,3,2017,2017,tempur-pedic,tsi,manufacturer,traditional,113749.0
2017-07-23,29,7,3,2017,2017,serta,ssb,manufacturer,traditional,76852.0
2017-07-23,29,7,3,2017,2017,simmons/beautyrest,ssb,manufacturer,traditional,44058.0
2017-07-23,29,7,3,2017,2017,sealy,tsi,manufacturer,traditional,31910.0
2017-07-23,29,7,3,2017,2017,stearns & foster,tsi,manufacturer,traditional,17694.0
2017-07-30,30,7,3,2017,2017,sleep number,select comfort,manufacturer,traditional,341498.0
2017-07-30,30,7,3,2017,2017,tempur-pedic,tsi,manufacturer,traditional,108965.0
2017-07-30,30,7,3,2017,2017,serta,ssb,manufacturer,traditional,80557.0
2017-07-30,30,7,3,2017,2017,simmons/beautyrest,ssb,manufacturer,traditional,39805.0
2017-07-30,30,7,3,2017,2017,sealy,tsi,manufacturer,traditional,38711.0
2017-07-30,30,7,3,2017,2017,stearns & foster,tsi,manufacturer,traditional,16708.0
2017-08-06,31,8,3,2017,2017,sleep number,select comfort,manufacturer,traditional,346564.0
